Ticker,Nombre,Industria,Sector,Activo
GE,GE AEROSPACE,Industrial,Industrial,SI
GPRK,GEOPARK LTD,Energy,Energy,SI
GILD,GILEAD SCIENCES INC,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
GLOB,GLOBANT SA,Technology,Technology,SI
GS,GOLDMAN SACHS GROUP INC,Financial,Financial,SI
GT,GOODYEAR TIRE & RUBBER CO./THE,"Consumer, Cyclical","Consumer, Cyclical",SI
HAL,HALLIBURTON CO,Energy,Energy,SI
HOG,HARLEY-DAVIDSON INC,"Consumer, Cyclical","Consumer, Cyclical",SI
HL,HECLA MINING CO,Basic Materials,Basic Materials,SI
HSY,HERSHEY CO/THE,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
HD,HOME DEPOT INC,"Consumer, Cyclical","Consumer, Cyclical",SI
HON,HONEYWELL INTERNATIONAL INC,Industrial,Industrial,SI
HWM,HOWMET AEROSPACE INC,Industrial,Industrial,SI
HPQ,HP INC,Technology,Technology,SI
INTC,INTEL CORP,Technology,Technology,SI
IP,INTERNATIONAL PAPER CO,Basic Materials,Basic Materials,SI
IBM,INTL BUSINESS MACHINES CORP,Technology,Technology,SI
IFF,INTL FLAVORS & FRAGRANCES,Basic Materials,Basic Materials,SI
JNJ,JOHNSON & JOHNSON,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
JCI,JOHNSON CONTROLS INTERNATION,Industrial,Industrial,SI
